-6.000e+02 5.000e+00 "(-600.0, -595.0]" 22.300138831391894
-3.400e+02 9.590e+02 "(-340.0, -335.0]" 22.299999016019303
-3.350e+02 1.138e+03 "(-335.0, -330.0]" 22.300001475640837
-3.300e+02 1.372e+03 "(-330.0, -325.0]" 22.299867580206442
-3.250e+02 2.242e+03 "(-325.0, -320.0]" 22.89995370203041
-3.200e+02 2.564e+03 "(-320.0, -315.0]" 24.22818036506752
-3.150e+02 2.940e+03 "(-315.0, -310.0]" 25.561740137683802
-3.100e+02 3.200e+03 "(-310.0, -305.0]" 26.91550604373202
-3.050e+02 3.531e+03 "(-305.0, -300.0]" 28.237736365917467
-3.000e+02 4.053e+03 "(-300.0, -295.0]" 29.58712001099556
-2.950e+02 4.455e+03 "(-295.0, -290.0]" 30.92783742613874
-2.900e+02 4.791e+03 "(-290.0, -285.0]" 32.26555722873411
-2.850e+02 5.225e+03 "(-285.0, -280.0]" 33.60490864807131
-2.800e+02 5.832e+03 "(-280.0, -275.0]" 34.94108991484773
-2.750e+02 6.203e+03 "(-275.0, -270.0]" 36.28285339080686
-2.700e+02 6.522e+03 "(-270.0, -265.0]" 37.61646719229434
-2.650e+02 6.815e+03 "(-265.0, -260.0]" 38.95962687497314
-2.600e+02 7.278e+03 "(-260.0, -255.0]" 40.29638888226916
-2.550e+02 7.358e+03 "(-255.0, -250.0]" 41.641047884477516
-2.500e+02 7.435e+03 "(-250.0, -245.0]" 42.96809064434584
-2.450e+02 7.680e+03 "(-245.0, -240.0]" 44.31999028247436
-2.400e+02 7.848e+03 "(-240.0, -235.0]" 45.651531501286264
-2.350e+02 8.100e+03 "(-235.0, -230.0]" 46.99870218015376
-2.300e+02 8.270e+03 "(-230.0, -225.0]" 48.343294577570134
-2.250e+02 8.182e+03 "(-225.0, -220.0]" 49.6748908895329
-2.200e+02 8.320e+03 "(-220.0, -215.0]" 51.011122063390054
-2.150e+02 8.348e+03 "(-215.0, -210.0]" 52.34569726980622
-2.100e+02 8.423e+03 "(-210.0, -205.0]" 53.6914057468783
-2.050e+02 8.533e+03 "(-205.0, -200.0]" 55.03737543842194
-2.000e+02 8.590e+03 "(-200.0, -195.0]" 56.370023800768806
-1.950e+02 8.652e+03 "(-195.0, -190.0]" 57.71825322447015
-1.900e+02 8.660e+03 "(-190.0, -185.0]" 59.05009253323728
-1.850e+02 8.693e+03 "(-185.0, -180.0]" 60.398907835252736
-1.800e+02 8.800e+03 "(-180.0, -175.0]" 61.7233141529408
-1.750e+02 8.731e+03 "(-175.0, -170.0]" 63.062836848818016
-1.700e+02 8.547e+03 "(-170.0, -165.0]" 64.40408840756575
-1.650e+02 8.568e+03 "(-165.0, -160.0]" 65.74780784836061
-1.600e+02 8.591e+03 "(-160.0, -155.0]" 67.08333723510844
-1.550e+02 8.672e+03 "(-155.0, -150.0]" 68.42621652036637
-1.500e+02 8.636e+03 "(-150.0, -145.0]" 69.76893659532946
-1.450e+02 8.532e+03 "(-145.0, -140.0]" 71.09614206968601
-1.400e+02 8.294e+03 "(-140.0, -135.0]" 72.44167572864734
-1.350e+02 8.382e+03 "(-135.0, -130.0]" 73.78055427112908
-1.300e+02 8.481e+03 "(-130.0, -125.0]" 74.88665976694642
-1.250e+02 8.092e+03 "(-125.0, -120.0]" 75.00000635608994
-1.200e+02 8.275e+03 "(-120.0, -115.0]" 74.99999421561995
-1.150e+02 8.375e+03 "(-115.0, -110.0]" 74.99999551737847
-1.100e+02 8.280e+03 "(-110.0, -105.0]" 74.99999820160342
-1.050e+02 8.198e+03 "(-105.0, -100.0]" 74.99999944245812
-1.000e+02 8.146e+03 "(-100.0, -95.0]" 74.99999716863859
-9.500e+01 8.097e+03 "(-95.0, -90.0]" 74.99999693964848
-9.000e+01 8.172e+03 "(-90.0, -85.0]" 75.00000438326418
-8.500e+01 8.472e+03 "(-85.0, -80.0]" 75.00000420622997
-8.000e+01 8.204e+03 "(-80.0, -75.0]" 75.00000291028101
-7.500e+01 8.353e+03 "(-75.0, -70.0]" 75.00000681069896
-7.000e+01 8.137e+03 "(-70.0, -65.0]" 74.9999970168115
-6.500e+01 8.363e+03 "(-65.0, -60.0]" 74.999999428348
-6.000e+01 8.308e+03 "(-60.0, -55.0]" 74.9999950115385
-5.500e+01 8.393e+03 "(-55.0, -50.0]" 75.00000191053742
-5.000e+01 8.337e+03 "(-50.0, -45.0]" 75.00000498061985
-4.500e+01 8.242e+03 "(-45.0, -40.0]" 75.00000483681488
-4.000e+01 8.252e+03 "(-40.0, -35.0]" 75.00000259491124
-3.500e+01 8.392e+03 "(-35.0, -30.0]" 75.00000366257377
-3.000e+01 8.330e+03 "(-30.0, -25.0]" 75.00000152652834
-2.500e+01 8.329e+03 "(-25.0, -20.0]" 74.99999875952547
-2.000e+01 8.498e+03 "(-20.0, -15.0]" 75.00000073771086
-1.500e+01 8.433e+03 "(-15.0, -10.0]" 74.99999947159799
-1.000e+01 8.343e+03 "(-10.0, -5.0]" 75.00000400520719
-5.000e+00 8.419e+03 "(-5.0, 0.0]" 75.00000072118284
0.000e+00 8.341e+03 "(0.0, 5.0]" 74.99999959322109
5.000e+00 8.300e+03 "(5.0, 10.0]" 74.9999946039656
1.000e+01 8.277e+03 "(10.0, 15.0]" 74.99999996336987
1.500e+01 8.331e+03 "(15.0, 20.0]" 74.99999950531934
2.000e+01 8.299e+03 "(20.0, 25.0]" 75.00000493503217
2.500e+01 8.175e+03 "(25.0, 30.0]" 75.00000392704185
3.000e+01 8.295e+03 "(30.0, 35.0]" 74.9999981687206
3.500e+01 8.275e+03 "(35.0, 40.0]" 75.00000280061388
4.000e+01 8.440e+03 "(40.0, 45.0]" 75.00000357781121
4.500e+01 8.365e+03 "(45.0, 50.0]" 75.00000340672264
5.000e+01 8.310e+03 "(50.0, 55.0]" 75.00000541754956
5.500e+01 8.365e+03 "(55.0, 60.0]" 74.99999635571392
6.000e+01 8.367e+03 "(60.0, 65.0]" 74.9999979215992
6.500e+01 8.298e+03 "(65.0, 70.0]" 74.99999987362833
7.000e+01 8.220e+03 "(70.0, 75.0]" 75.00000150693708
7.500e+01 8.405e+03 "(75.0, 80.0]" 75.00000364368361
8.000e+01 8.286e+03 "(80.0, 85.0]" 75.00000098935371
8.500e+01 8.252e+03 "(85.0, 90.0]" 74.9999942325058
9.000e+01 8.186e+03 "(90.0, 95.0]" 75.0000012086393
9.500e+01 8.257e+03 "(95.0, 100.0]" 75.00000583456269
1.000e+02 8.196e+03 "(100.0, 105.0]" 75.00000169144496
1.050e+02 8.222e+03 "(105.0, 110.0]" 75.00000312241836
1.100e+02 8.184e+03 "(110.0, 115.0]" 75.00000203790943
1.150e+02 8.240e+03 "(115.0, 120.0]" 74.99999660469541
1.200e+02 8.112e+03 "(120.0, 125.0]" 75.00000518358652
1.250e+02 8.308e+03 "(125.0, 130.0]" 74.88481579733711
1.300e+02 8.493e+03 "(130.0, 135.0]" 73.78587221011387
1.350e+02 8.487e+03 "(135.0, 140.0]" 72.4407806386058
1.400e+02 8.505e+03 "(140.0, 145.0]" 71.10677803788757
1.450e+02 8.661e+03 "(145.0, 150.0]" 69.7587219307034
1.500e+02 8.632e+03 "(150.0, 155.0]" 68.42906323709573
1.550e+02 8.516e+03 "(155.0, 160.0]" 67.08167969964734
1.600e+02 8.642e+03 "(160.0, 165.0]" 65.74533296777533
1.650e+02 8.567e+03 "(165.0, 170.0]" 64.40226238992265
1.700e+02 8.606e+03 "(170.0, 175.0]" 63.065735614403984
1.750e+02 8.452e+03 "(175.0, 180.0]" 61.72692375951081
1.800e+02 8.545e+03 "(180.0, 185.0]" 60.38680328112585
1.850e+02 8.485e+03 "(185.0, 190.0]" 59.04308294544786
1.900e+02 8.450e+03 "(190.0, 195.0]" 57.70884488238671
1.950e+02 8.489e+03 "(195.0, 200.0]" 56.371944919678896
2.000e+02 8.644e+03 "(200.0, 205.0]" 55.02933409184071
2.050e+02 8.450e+03 "(205.0, 210.0]" 53.68997304741049
2.100e+02 8.394e+03 "(210.0, 215.0]" 52.35156434116267
2.150e+02 8.360e+03 "(215.0, 220.0]" 51.00969809671418
2.200e+02 8.209e+03 "(220.0, 225.0]" 49.67746303074493
2.250e+02 8.171e+03 "(225.0, 230.0]" 48.33078214277308
2.300e+02 8.129e+03 "(230.0, 235.0]" 46.999004644430215
2.350e+02 7.961e+03 "(235.0, 240.0]" 45.64571134234572
2.400e+02 7.753e+03 "(240.0, 245.0]" 44.30919011100556
2.450e+02 7.650e+03 "(245.0, 250.0]" 42.975861988470854
2.500e+02 7.435e+03 "(250.0, 255.0]" 41.6388590914102
2.550e+02 6.995e+03 "(255.0, 260.0]" 40.29533018013109
2.600e+02 6.838e+03 "(260.0, 265.0]" 38.96032490097541
2.650e+02 6.704e+03 "(265.0, 270.0]" 37.61561628350863
2.700e+02 5.983e+03 "(270.0, 275.0]" 36.27702573681216
2.750e+02 5.737e+03 "(275.0, 280.0]" 34.93400081141399
2.800e+02 5.326e+03 "(280.0, 285.0]" 33.603787857297085
2.850e+02 4.907e+03 "(285.0, 290.0]" 32.25916432257915
2.900e+02 4.532e+03 "(290.0, 295.0]" 30.92007378907682
2.950e+02 4.017e+03 "(295.0, 300.0]" 29.586603402324887
3.000e+02 3.762e+03 "(300.0, 305.0]" 28.249425685759103
3.050e+02 3.201e+03 "(305.0, 310.0]" 26.903847045013915
3.100e+02 2.972e+03 "(310.0, 315.0]" 25.557238174238435
3.150e+02 2.509e+03 "(315.0, 320.0]" 24.24526333900588
3.200e+02 2.137e+03 "(320.0, 325.0]" 22.889709600458918
3.250e+02 1.348e+03 "(325.0, 330.0]" 22.299993552944493
3.300e+02 1.155e+03 "(330.0, 335.0]" 22.299989641674443
3.350e+02 9.550e+02 "(335.0, 340.0]" 22.29999875251052
3.400e+02 8.010e+02 "(340.0, 345.0]" 22.299988421842745
3.450e+02 6.990e+02 "(345.0, 350.0]" 22.299995428417056
3.500e+02 5.410e+02 "(350.0, 355.0]" 22.300028994080233
3.550e+02 5.270e+02 "(355.0, 360.0]" 22.299996132524374
3.600e+02 4.120e+02 "(360.0, 365.0]" 22.30001592705849
3.650e+02 3.650e+02 "(365.0, 370.0]" 22.30000109321296
3.700e+02 2.820e+02 "(370.0, 375.0]" 22.299999005903196
3.750e+02 2.430e+02 "(375.0, 380.0]" 22.29998921543058
3.800e+02 2.280e+02 "(380.0, 385.0]" 22.299999933995185
3.850e+02 2.160e+02 "(385.0, 390.0]" 22.29999486720863
3.900e+02 1.740e+02 "(390.0, 395.0]" 22.299989633104463
3.950e+02 1.480e+02 "(395.0, 400.0]" 22.29999795485146
4.000e+02 1.320e+02 "(400.0, 405.0]" 22.299996168010463
4.050e+02 1.160e+02 "(405.0, 410.0]" 22.299990954815527
4.100e+02 9.400e+01 "(410.0, 415.0]" 22.29998126347676
4.150e+02 9.400e+01 "(415.0, 420.0]" 22.2999821578662
4.200e+02 8.700e+01 "(420.0, 425.0]" 22.30001249565084
4.250e+02 7.500e+01 "(425.0, 430.0]" 22.299918554451978
4.300e+02 6.100e+01 "(430.0, 435.0]" 22.299975560267676
4.350e+02 5.900e+01 "(435.0, 440.0]" 22.30001300965146
4.400e+02 4.500e+01 "(440.0, 445.0]" 22.300015643325413
4.450e+02 5.900e+01 "(445.0, 450.0]" 22.29996721481568
4.500e+02 5.000e+01 "(450.0, 455.0]" 22.299997198300822
4.550e+02 5.000e+01 "(455.0, 460.0]" 22.299973263133662
4.600e+02 2.800e+01 "(460.0, 465.0]" 22.30002432659358
4.650e+02 2.800e+01 "(465.0, 470.0]" 22.29996131270524
4.700e+02 3.200e+01 "(470.0, 475.0]" 22.29998960190033
4.750e+02 2.700e+01 "(475.0, 480.0]" 22.299998350509927
4.800e+02 2.800e+01 "(480.0, 485.0]" 22.299913455499798
4.850e+02 2.700e+01 "(485.0, 490.0]" 22.299986979254285
4.900e+02 2.600e+01 "(490.0, 495.0]" 22.30007332204775
4.950e+02 2.900e+01 "(495.0, 500.0]" 22.300000854599176
5.000e+02 2.300e+01 "(500.0, 505.0]" 22.29997249096042
5.050e+02 1.800e+01 "(505.0, 510.0]" 22.299969612398737
5.100e+02 2.200e+01 "(510.0, 515.0]" 22.299976911980643
5.150e+02 2.100e+01 "(515.0, 520.0]" 22.299962054771683
5.200e+02 1.800e+01 "(520.0, 525.0]" 22.2999633307191
5.250e+02 3.000e+01 "(525.0, 530.0]" 22.299921599376727
5.300e+02 1.700e+01 "(530.0, 535.0]" 22.300005093413333
5.350e+02 1.200e+01 "(535.0, 540.0]" 22.29990188308283
5.400e+02 2.200e+01 "(540.0, 545.0]" 22.300041686655785
5.450e+02 1.400e+01 "(545.0, 550.0]" 22.299969695717188
5.500e+02 1.000e+01 "(550.0, 555.0]" 22.29991121246821
5.550e+02 2.200e+01 "(555.0, 560.0]" 22.300084319143167
5.600e+02 7.000e+00 "(560.0, 565.0]" 22.299969860862564
5.650e+02 1.200e+01 "(565.0, 570.0]" 22.30009156926478
5.700e+02 1.200e+01 "(570.0, 575.0]" 22.300049961696036
5.750e+02 1.200e+01 "(575.0, 580.0]" 22.299963483841157
5.800e+02 1.400e+01 "(580.0, 585.0]" 22.299987186227828
5.850e+02 1.100e+01 "(585.0, 590.0]" 22.300087766542468
5.900e+02 3.000e+00 "(590.0, 595.0]" 22.30017504384745
5.950e+02 3.000e+00 "(595.0, 600.0]" 22.29970015847964
